Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2020-02-27;1934.38;1975.0;1882.76;1884.3;8112100;0;0
2020-02-28;1814.63;1889.76;1811.13;1883.75;9493800;0;0
2020-03-02;1906.49;1954.51;1870.0;1953.95;6761700;0;0
2020-03-03;1975.37;1996.33;1888.09;1908.99;7534500;0;0
2020-03-04;1946.57;1978.0;1922.0;1975.83;4772900;0;0
2020-03-05;1933.0;1960.72;1910.0;1924.03;4748200;0;0
2020-03-06;1875.0;1910.87;1869.5;1901.09;5273600;0;0
2020-03-09;1773.86;1862.77;1761.29;1800.61;7813200;0;0
2020-03-10;1870.88;1894.27;1818.17;1891.82;7133300;0;0
2020-03-11;1857.85;1871.32;1801.5;1820.86;5624800;0;0
2020-03-12;1721.98;1765.0;1675.0;1676.61;11346200;0;0
2020-03-13;1755.0;1786.31;1680.62;1785.0;8809700;0;0
2020-03-16;1641.51;1759.45;1626.03;1689.15;8917300;0;0
2020-03-17;1775.47;1857.78;1689.24;1807.84;10917100;0;0
2020-03-18;1750.0;1841.66;1745.0;1830.0;9645200;0;0
2020-03-19;1860.0;1945.0;1832.65;1880.93;10399900;0;0
2020-03-20;1926.31;1957.0;1820.73;1846.09;9817900;0;0
2020-03-23;1827.75;1919.4;1812.0;1902.83;7808500;0;0
2020-03-24;1951.5;1955.0;1900.34;1940.1;7147100;0;0
2020-03-25;1920.69;1950.26;1885.78;1885.84;6479100;0;0
2020-03-26;1902.0;1956.49;1889.29;1955.49;6221300;0;0
2020-03-27;1930.86;1939.79;1899.92;1900.1;5387900;0;0
2020-03-30;1922.83;1973.63;1912.34;1963.95;6126100;0;0
2020-03-31;1964.35;1993.02;1944.01;1949.72;5123600;0;0
2020-04-01;1932.97;1944.96;1893.0;1907.7;4121900;0;0
2020-04-02;1901.64;1927.53;1890.0;1918.83;4336000;0;0
2020-04-03;1911.15;1926.33;1889.15;1906.59;3609900;0;0
2020-04-06;1936.0;1998.52;1930.02;1997.59;5773200;0;0
2020-04-07;2017.11;2035.72;1997.62;2011.6;5114000;0;0
2020-04-08;2021.0;2044.0;2011.15;2043.0;3977300;0;0
2020-04-09;2044.3;2053.0;2017.66;2042.76;4655600;0;0
2020-04-13;2040.0;2180.0;2038.0;2168.87;6716700;0;0
2020-04-14;2200.47;2292.0;2186.21;2283.32;8087200;0;0
2020-04-15;2257.68;2333.37;2245.0;2307.68;6866600;0;0
2020-04-16;2346.0;2461.0;2335.0;2408.19;12038200;0;0
2020-04-17;2372.33;2400.0;2316.02;2375.0;7930000;0;0
2020-04-20;2389.95;2444.98;2386.05;2393.61;5770700;0;0
2020-04-21;2416.61;2428.31;2279.66;2328.12;7476700;0;0
2020-04-22;2369.0;2394.0;2351.0;2363.49;4218300;0;0
2020-04-23;2399.98;2424.22;2382.08;2399.45;5066600;0;0
2020-04-24;2417.0;2420.43;2382.0;2410.22;3831800;0;0
2020-04-27;2443.2;2444.88;2363.0;2376.0;5645600;0;0
2020-04-28;2372.1;2373.5;2306.0;2314.08;5269400;0;0
2020-04-29;2330.01;2391.89;2310.0;2372.71;4591600;0;0
2020-04-30;2419.84;2475.0;2396.01;2474.0;9415000;0;0
2020-05-01;2336.8;2362.44;2258.19;2286.04;9772600;0;0
2020-05-04;2256.38;2326.98;2256.38;2315.99;4865900;0;0
2020-05-05;2340.0;2351.0;2307.13;2317.8;3242500;0;0
2020-05-06;2329.44;2357.45;2320.0;2351.26;3117800;0;0
2020-05-07;2374.78;2376.0;2343.11;2367.61;3396400;0;0
2020-05-08;2372.14;2387.24;2357.0;2379.61;3211200;0;0
2020-05-11;2374.7;2419.67;2372.11;2409.0;3253700;0;0
2020-05-12;2411.85;2419.0;2355.0;2356.95;3074900;0;0
2020-05-13;2366.8;2407.7;2337.8;2367.92;4782900;0;0
2020-05-14;2361.01;2391.37;2353.21;2388.85;3648100;0;0
2020-05-15;2368.52;2411.0;2356.37;2409.78;4235000;0;0
2020-05-18;2404.35;2433.0;2384.01;2426.26;4366600;0;0
2020-05-19;2429.83;2485.0;2428.97;2449.33;4320500;0;0
2020-05-20;2477.87;2500.01;2467.27;2497.94;3998100;0;0
2020-05-21;2500.0;2525.45;2442.54;2446.74;5114400;0;0
2020-05-22;2455.01;2469.85;2430.13;2436.88;2867100;0;0
2020-05-26;2458.0;2462.0;2414.06;2421.86;3568200;0;0
2020-05-27;2404.99;2413.58;2330.0;2410.39;5056900;0;0
2020-05-28;2384.33;2436.97;2378.23;2401.1;3190200;0;0
2020-05-29;2415.94;2442.37;2398.2;2442.37;3529300;0;0
2020-06-01;2448.0;2476.93;2444.17;2471.04;2928900;0;0
2020-06-02;2467.0;2473.53;2445.31;2472.41;2529900;0;0
2020-06-03;2468.01;2488.0;2461.17;2478.4;2671000;0;0
2020-06-04;2477.43;2507.54;2450.01;2460.6;2948700;0;0
2020-06-05;2444.51;2488.65;2437.13;2483.0;3304000;0;0
