Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2020-01-27;139.62;141.3;139.02;140.1;3895300;0.0;0
2020-01-28;140.09;140.87;139.72;140.39;2908300;0.0;0
2020-01-29;139.96;140.4;139.14;139.7;3263200;0.0;0
2020-01-30;140.28;141.89;139.49;141.76;4058500;0.0;0
2020-01-31;141.75;142.57;139.54;139.98;4753100;0.0;0
2020-02-03;140.72;141.02;139.8;140.46;3977800;0.0;0
2020-02-04;141.14;141.99;140.06;141.16;3494300;0.0;0
2020-02-05;141.62;142.51;141.37;142.23;3504900;0.0;0
2020-02-06;142.56;143.21;142.0;142.26;3571400;0.0;0
2020-02-07;142.19;143.63;141.76;143.28;3138500;0.0;0
2020-02-10;143.83;144.32;143.05;143.57;3775600;0.0;0
2020-02-11;144.11;144.26;142.79;143.98;3870500;0.0;0
2020-02-12;144.57;144.63;143.26;143.98;4217400;0.0;0
2020-02-13;143.16;145.02;141.46;144.37;5041400;0.0;0
2020-02-14;144.47;145.04;143.84;144.88;3555600;0.0;0
2020-02-18;145.0;145.09;143.31;143.51;4938700;0.0;0
2020-02-19;143.53;144.38;143.4;143.44;2978800;0.0;0
2020-02-20;143.68;143.71;141.88;143.08;2805900;0.0;0
2020-02-21;142.98;143.82;142.73;143.76;4271800;0.0;0
2020-02-24;143.77;145.04;140.51;140.59;5027700;0.0;0
2020-02-25;140.54;142.31;138.55;139.07;7585800;0.0;0
2020-02-26;140.39;141.69;139.13;139.94;6157200;0.0;0
2020-02-27;139.38;141.08;134.35;134.41;8603500;0.0;0
2020-02-28;131.33;131.83;126.51;130.13;14170000;0.0;0
2020-03-02;130.1;135.79;129.83;135.6;8504500;0.0;0
2020-03-03;135.22;137.66;132.81;133.63;8728300;0.0;0
2020-03-04;134.23;140.66;134.06;140.35;7635700;0.0;0
2020-03-05;137.74;140.33;135.62;137.04;6579100;0.955;0
2020-03-06;130.55;137.11;130.44;136.2;6754900;0.0;0
2020-03-09;129.18;132.32;127.19;129.16;8716300;0.0;0
2020-03-10;131.03;133.53;125.88;133.11;8258600;0.0;0
2020-03-11;129.57;131.52;126.65;128.75;7465100;0.0;0
2020-03-12;121.16;124.04;112.72;114.45;12808300;0.0;0
2020-03-13;119.75;126.61;114.18;126.47;12007700;0.0;0
2020-03-16;113.81;122.87;111.14;112.22;10733300;0.0;0
2020-03-17;115.8;126.88;115.49;126.74;14242300;0.0;0
2020-03-18;119.91;126.74;112.89;119.99;15250800;0.0;0
2020-03-19;120.49;121.15;115.17;116.44;9393500;0.0;0
2020-03-20;117.33;117.54;100.64;103.13;13093200;0.0;0
2020-03-23;105.18;112.0;102.08;104.37;13926800;0.0;0
2020-03-24;109.08;113.55;108.53;112.96;11447000;0.0;0
2020-03-25;111.87;115.46;110.18;111.63;9485500;0.0;0
2020-03-26;111.84;120.86;111.71;119.33;10376800;0.0;0
2020-03-27;117.66;123.69;117.08;119.53;9852500;0.0;0
2020-03-30;120.67;124.87;120.57;124.51;6916800;0.0;0
2020-03-31;123.98;124.73;118.61;119.17;7091700;0.0;0
2020-04-01;116.37;121.36;114.78;117.21;6873000;0.0;0
2020-04-02;116.32;124.22;115.58;122.91;6181800;0.0;0
2020-04-03;122.24;124.4;121.5;123.63;5552000;0.0;0
2020-04-06;127.67;131.11;124.32;130.15;8242200;0.0;0
2020-04-07;131.69;134.04;129.29;129.48;6253900;0.0;0
2020-04-08;128.64;132.26;128.14;131.59;5241100;0.0;0
2020-04-09;131.07;134.04;130.5;132.6;5502400;0.0;0
2020-04-13;130.68;132.32;128.43;129.88;3785000;0.0;0
2020-04-14;132.19;137.56;131.33;137.33;6278700;0.0;0
2020-04-15;136.08;136.5;132.67;133.99;5773100;0.0;0
2020-04-16;135.92;135.92;132.82;134.6;4564000;0.0;0
2020-04-17;136.67;136.94;133.87;136.49;4866500;0.0;0
2020-04-20;135.89;136.32;133.47;133.51;3995400;0.0;0
2020-04-21;131.12;131.92;129.58;129.93;4359500;0.0;0
2020-04-22;131.42;132.64;130.21;131.6;4085100;0.0;0
2020-04-23;131.48;133.11;129.03;129.26;5527700;0.0;0
2020-04-24;129.86;133.78;129.64;133.33;4065500;0.0;0
2020-04-27;133.38;134.17;132.86;133.42;4009200;0.0;0
2020-04-28;135.73;136.62;133.62;135.27;6674200;0.0;0
2020-04-29;135.72;135.92;131.88;132.33;6706800;0.0;0
2020-04-30;131.39;132.14;129.42;131.27;6780000;0.0;0
2020-05-01;130.11;131.21;128.52;129.14;4488000;0.0;0
2020-05-04;129.17;130.34;128.32;129.91;5245300;0.0;0
2020-05-05;130.63;132.3;129.76;130.66;3580000;0.0;0
2020-05-06;130.57;131.21;129.68;129.77;4192200;0.0;0
2020-05-07;130.54;130.98;129.12;130.54;5528000;0.0;0
2020-05-08;132.05;134.12;131.44;133.2;4209100;0.0;0
2020-05-11;132.4;135.15;132.14;133.34;3590400;0.0;0
2020-05-12;133.72;135.33;131.84;131.92;3914600;0.0;0
2020-05-13;132.15;133.43;130.44;131.94;5168500;0.0;0
2020-05-14;131.69;132.53;129.15;132.05;5522200;0.0;0
2020-05-15;132.74;136.6;131.77;134.9;20338200;0.0;0
2020-05-18;135.8;136.93;134.02;134.48;8480300;0.0;0
2020-05-19;133.39;133.72;130.39;130.72;6640300;0.0;0
2020-05-20;131.52;131.66;129.34;130.25;8213100;0.0;0
2020-05-21;129.97;130.43;128.61;129.21;4886300;0.0;0
2020-05-22;128.61;129.62;128.18;129.48;3429200;0.0;0
2020-05-26;130.92;131.03;128.4;128.75;5579300;0.0;0
2020-05-27;128.72;129.83;127.59;129.8;5686500;0.0;0
2020-05-28;130.2;131.71;129.11;131.27;4974400;0.0;0
2020-05-29;130.99;131.22;129.32;130.54;13338800;0.0;0
2020-06-01;130.59;132.92;130.18;131.97;4049200;0.0;0
2020-06-02;132.03;132.78;130.11;131.61;5327500;0.0;0
2020-06-03;132.21;133.25;131.58;131.8;5421200;0.0;0
2020-06-04;131.59;133.56;130.18;130.57;5229700;1.023;0
2020-06-05;131.0;133.52;130.77;132.44;7075200;0.0;0
2020-06-08;131.0;132.46;131.24;132.21;4675229;0.0;0
